,BTCUSDT,XMRUSDT,AAVEUSDT,DOTUSDT,CRVUSDT,LTCUSDT,SOLUSDT,UNIUSDT,TRXUSDT,BNBUSDT,ADAUSDT,EOSUSDT,DOGEUSDT,MATICUSDT,ETHUSDT
2023-01-27 00:00:00,23074.16000000,179.90000000,87.20000000,6.58500000,1.13200000,88.89000000,24.43000000,6.87100000,0.06366000,308.00000000,0.38980000,1.11200000,0.08723000,1.15880000,1597.62000000
2023-01-28 00:00:00,23022.60000000,184.20000000,84.30000000,6.39700000,1.07200000,89.67000000,24.00000000,6.63100000,0.06312000,306.10000000,0.38190000,1.09300000,0.08773000,1.14420000,1572.10000000
2023-01-29 00:00:00,23742.30000000,186.30000000,87.60000000,6.61100000,1.08800000,94.84000000,26.07000000,6.92700000,0.06378000,317.20000000,0.39750000,1.11400000,0.09009000,1.17800000,1644.72000000
2023-01-30 00:00:00,22826.15000000,175.90000000,81.20000000,6.19000000,0.99300000,91.37000000,23.96000000,6.51700000,0.06227000,307.20000000,0.37250000,1.04900000,0.08837000,1.08750000,1566.20000000
2023-01-31 00:00:00,23125.13000000,177.50000000,82.90000000,6.26000000,1.01900000,94.09000000,23.92000000,6.55800000,0.06218000,312.00000000,0.39020000,1.06300000,0.09612000,1.10940000,1585.33000000
2023-02-01 00:00:00,23732.66000000,177.70000000,88.30000000,6.46700000,1.11100000,100.33000000,25.00000000,6.79800000,0.06312000,317.00000000,0.39700000,1.07700000,0.09403000,1.19370000,1641.68000000
2023-02-02 00:00:00,23488.94000000,173.10000000,88.30000000,6.54300000,1.06100000,98.64000000,24.32000000,7.11000000,0.06383000,323.50000000,0.39810000,1.07000000,0.09099000,1.18100000,1643.12000000
2023-02-03 00:00:00,23431.90000000,171.80000000,91.20000000,7.00800000,1.11400000,99.86000000,24.69000000,7.06100000,0.06416000,332.20000000,0.40380000,1.09600000,0.09293000,1.24600000,1663.52000000
2023-02-04 00:00:00,23326.84000000,172.30000000,89.00000000,6.87300000,1.10900000,98.51000000,24.34000000,7.20400000,0.06384000,330.40000000,0.39940000,1.10700000,0.09567000,1.25450000,1666.38000000
2023-02-05 00:00:00,22932.91000000,166.60000000,85.70000000,6.63700000,1.05300000,96.63000000,23.47000000,6.88600000,0.06411000,327.80000000,0.39230000,1.08200000,0.09203000,1.20280000,1629.02000000
